kepid_sim,koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_steff,koi_srad,koi_model_snr,y,koi_fpflag_1,koi_fpflag_2,koi_fpflag_3,koi_fpflag_4,koi_score
0,18.314065329840023,3.351166372056459,914.227039546335,0.9524208179882112,0.6389604124431775,5063.402163059489,0.8876035008255015,4.660983662313319,0,1,1,1,1,0.1788400580436829
0,11.040573386242006,2.3806107690525606,3420.074359539185,1.7385247862901412,0.4363066634478796,4535.580233299473,0.6945569605102484,7.673174145122918,0,1,1,1,1,0.362454033386415
1,6.075350486648465,2.9696554326256432,753.2292512476055,1.902758726970784,0.5579333811786509,5244.395407843597,0.7866616233927916,11.324071729438725,1,0,0,0,0,1.0
2,7.416552432590758,2.763088271728532,516.3208195465509,4.667787012432499,0.8634148552533721,6078.342392529707,1.4490971881020498,7.5680008279382465,0,1,1,1,1,0.23188200952435212
2,19.220437717644426,3.975778421938826,497.46542128280436,1.062290127019561,0.6290369391709821,5560.797401528936,0.6943743968213585,15.748590029483156,1,0,0,0,0,0.5844955145661578
2,12.582678202896556,5.406295839677173,778.466807660069,1.098619131833684,0.7055793465108808,5908.635350474769,0.6342004633506375,3.808170746079003,0,1,1,1,1,0.34625317989408233
3,7.6905899346037465,1.8936743054960452,487.6316533077096,1.6256638179106022,0.6958205387556027,4511.846730568755,0.7720126632462315,6.387529855075568,0,1,1,1,1,0.056389135209167496
3,6.23334979712548,2.457618514882708,900.8045040851623,1.4975829969966579,0.18145530891874406,4270.293885764771,1.3890955303541717,5.178886313315671,0,1,1,1,1,0.05245811694678179
4,19.09625196380265,1.5619790401464098,510.6730941600619,3.764055878261804,0.5035549110429132,5898.072817406524,0.7678973534325155,6.79172574261411,0,1,1,1,1,0.4746771087603035
5,10.971263271640787,5.053709501040899,1172.6376995778355,3.850909443715085,0.5295516998687319,5755.753839919749,0.9391301269691927,4.378223547179671,1,0,1,0,0,0.28114689188783243
5,25.599151750011085,3.414559102156053,1291.6213782671034,2.5793345795276306,0.47355279217530744,4990.040908867355,1.2326166134129606,7.179501593747466,1,0,0,0,0,1.0
5,28.840687178806352,3.0805055470979164,401.75508659382706,4.789922883548481,0.29897359011335234,4850.448124668723,1.3486966201014292,24.577189211417465,1,0,0,0,0,1.0
6,10.872970494820386,3.05910513072641,1638.0285146336682,2.4203332470269387,0.5972293188716419,5433.666930619163,1.0266536740828769,13.811341588656079,1,0,0,0,0,0.36578832194484845
